,Unnamed: 0_call,交易日期_x,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,Unnamed: 0_put,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return,交易日期_y,CV_22,intensity_22,size_22,sizevol_22
0,18,2016-02-02,2.1,1981.0,50,10000376.SH,0.05,2.171,1.975,0.0,call,0.0070377870706597,0.3266446612554192,1.06,1,1.85,2685.0,50,10000403.SH,0.06,2.171,1.975,0.0,put,-1.0,0.4035740728257894,0.94,-0.2310122914241046,2016-03-08,0.0011011489906596,1,0.1108087273707066,2.51718174785121
1,55,2016-02-04,2.1,1686.0,48,10000376.SH,0.04,2.171,1.978,0.0,call,0.0120259121994628,0.2911528548512457,1.06,7,1.85,2022.0,48,10000403.SH,0.05,2.171,1.978,0.0,put,-1.0,0.3742553375805318,0.94,-0.137746631734864,2016-03-08,0.0011011489906596,1,0.1108087273707066,2.51718174785121
2,197,2016-02-23,2.15,2890.0,29,10000345.SH,0.02,2.171,2.03,0.0,call,0.0016838355157531,0.2613641372169255,1.06,36,1.9,4790.0,29,10000404.SH,0.02,2.171,2.03,0.0,put,-1.0,0.3013671785099506,0.94,-0.4865364439782836,2016-03-08,0.0011011489906596,1,0.1108087273707066,2.51718174785121
3,270,2016-03-11,2.2,2623.0,47,10000589.SH,0.03,2.144,2.066,0.0,call,-1.0,0.2548577570510804,1.06,58,1.95,1840.0,47,10000580.SH,0.06,2.144,2.066,0.0,put,-1.0,0.3849338023760318,0.94,-1.0,2016-04-08,0.0008047416505956,2,0.1423635760138069,4.408298555449945
4,273,2016-03-14,2.2,4349.0,44,10000589.SH,0.04,2.144,2.076,0.0,call,-1.0,0.2925611926938295,1.06,61,1.95,3472.0,44,10000580.SH,0.05,2.144,2.076,0.0,put,-1.0,0.3688500334670841,0.94,-1.0,2016-04-08,0.0008047416505956,2,0.1423635760138069,4.408298555449945
5,282,2016-03-17,2.25,4549.0,41,10000593.SH,0.03,2.144,2.132,0.0,call,-1.0,0.2487465554825067,1.06,74,2.0,5998.0,41,10000581.SH,0.04,2.144,2.132,0.0,put,-1.0,0.3371241062415242,0.94,-1.0,2016-04-08,0.0008047416505956,2,0.1423635760138069,4.408298555449945
6,291,2016-03-23,2.3,9388.0,35,10000597.SH,0.04,2.144,2.171,0.0,call,-1.0,0.3210247805280685,1.06,99,2.05,6118.0,35,10000582.SH,0.04,2.144,2.171,0.0,put,-1.0,0.3421552125821711,0.94,-1.0,2016-04-08,0.0008047416505956,2,0.1423635760138069,4.408298555449945
7,300,2016-03-28,2.25,9929.0,30,10000593.SH,0.03,2.144,2.121,0.0,call,-1.0,0.307660472177267,1.06,116,2.0,6997.0,30,10000581.SH,0.02,2.144,2.121,0.0,put,-1.0,0.2717063723793625,0.94,-1.0,2016-04-08,0.0008047416505956,2,0.1423635760138069,4.408298555449945
8,325,2016-04-08,2.25,2256.0,47,10000605.SH,0.03,2.074,2.124,0.0,call,-1.0,0.2402081943876147,1.06,153,2.0,2273.0,47,10000612.SH,0.03,2.074,2.124,0.0,put,-1.0,0.2662949885951877,0.94,-1.0,2016-05-11,0.0004038264832088,2,0.1015312506993208,2.046325195445342
9,337,2016-04-14,2.3,2543.0,41,10000613.SH,0.03,2.074,2.174,0.0,call,-1.0,0.2521597541543245,1.06,163,2.05,3902.0,41,10000606.SH,0.02,2.074,2.174,0.0,put,-1.0,0.2315466901581883,0.94,-1.0,2016-05-11,0.0004038264832088,2,0.1015312506993208,2.046325195445342
10,339,2016-04-15,2.3,3886.0,40,10000613.SH,0.03,2.074,2.178,0.0,call,-1.0,0.2508417173034251,1.06,167,2.05,2791.0,40,10000606.SH,0.02,2.074,2.178,0.0,put,-1.0,0.2382629381733537,0.94,-1.0,2016-05-11,0.0004038264832088,2,0.1015312506993208,2.046325195445342
11,411,2016-05-09,2.2,6851.0,44,10000449.SH,0.02,2.124,2.071,0.0,call,-1.0,0.2146555767394304,1.06,229,1.95,6622.0,44,10000542.SH,0.02,2.124,2.071,0.0,put,-1.0,0.2317710419289469,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
12,423,2016-05-10,2.2,6787.0,43,10000449.SH,0.012,2.124,2.07,0.0,call,-1.0,0.1787316368767022,1.06,234,1.95,5219.0,43,10000542.SH,0.02,2.124,2.07,0.0,put,-1.0,0.2332944166784286,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
13,435,2016-05-11,2.2,3029.0,42,10000449.SH,0.0103,2.124,2.077,0.0,call,-1.0,0.1648338672218918,1.06,239,1.95,2605.0,42,10000542.SH,0.02,2.124,2.077,0.0,put,-1.0,0.2430735074386,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
14,447,2016-05-12,2.2,5842.0,41,10000449.SH,0.01,2.124,2.083,0.0,call,-1.0,0.1594671868989468,1.06,244,1.95,5814.0,41,10000542.SH,0.02,2.124,2.083,0.0,put,-1.0,0.2520108618261218,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
15,459,2016-05-13,2.2,2283.0,40,10000449.SH,0.009,2.124,2.079,0.0,call,-1.0,0.1596033238395452,1.06,249,1.95,2326.0,40,10000542.SH,0.02,2.124,2.079,0.0,put,-1.0,0.2508674068924784,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
16,471,2016-05-16,2.2,3043.0,37,10000449.SH,0.0081,2.124,2.081,0.0,call,-1.0,0.1586711076613664,1.06,254,1.95,3696.0,37,10000542.SH,0.0135,2.124,2.081,0.0,put,-1.0,0.2254156402528285,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
17,483,2016-05-17,2.2,4324.0,36,10000449.SH,0.0072,2.124,2.077,0.0,call,-1.0,0.1588555243400931,1.06,259,1.95,3470.0,36,10000542.SH,0.012,2.124,2.077,0.0,put,-1.0,0.2149625405065417,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
18,495,2016-05-18,2.2,4478.0,35,10000449.SH,0.0069,2.124,2.0780000000000003,0.0,call,-1.0,0.1581456333757639,1.06,264,1.95,6923.0,35,10000542.SH,0.0118,2.124,2.0780000000000003,0.0,put,-1.0,0.2175965876514315,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
19,507,2016-05-19,2.2,2950.0,34,10000449.SH,0.006,2.124,2.072,0.0,call,-1.0,0.1596647165929675,1.06,269,1.95,3760.0,34,10000542.SH,0.0107,2.124,2.072,0.0,put,-1.0,0.2071719789111018,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
20,519,2016-05-20,2.2,1965.0,33,10000449.SH,0.006,2.124,2.083,0.0,call,-1.0,0.1514780227264165,1.06,274,1.95,4072.0,33,10000542.SH,0.0075,2.124,2.083,0.0,put,-1.0,0.1976644467767477,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
21,531,2016-05-23,2.2,4520.0,30,10000449.SH,0.0052,2.124,2.084,0.0,call,-1.0,0.1517073812848329,1.06,279,1.95,5346.0,30,10000542.SH,0.0048,2.124,2.084,0.0,put,-1.0,0.1832105660642385,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
22,543,2016-05-24,2.2,4338.0,29,10000449.SH,0.0038,2.124,2.069,0.0,call,-1.0,0.1560392062826156,1.06,284,1.95,3925.0,29,10000542.SH,0.0065,2.124,2.069,0.0,put,-1.0,0.1873971942199468,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
23,555,2016-05-25,2.2,2902.0,28,10000449.SH,0.0041,2.124,2.074,0.0,call,-1.0,0.1571334278042913,1.06,289,1.95,3614.0,28,10000542.SH,0.0067,2.124,2.074,0.0,put,-1.0,0.1975396347129941,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
24,567,2016-05-26,2.2,10145.0,27,10000449.SH,0.003,2.124,2.074,0.0,call,-1.0,0.1480552873162031,1.06,294,1.95,9744.0,27,10000542.SH,0.0047,2.124,2.074,0.0,put,-1.0,0.1817550213665962,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
25,579,2016-05-27,2.2,4936.0,26,10000449.SH,0.0026,2.124,2.0780000000000003,0.0,call,-1.0,0.1421754112583399,1.06,299,1.95,5582.0,26,10000542.SH,0.0036,2.124,2.0780000000000003,0.0,put,-1.0,0.1765815792053937,0.94,-1.0,2016-06-14,0.0003197052421811,2,0.1047233140252658,2.2811999194769004
26,618,2016-06-22,2.25,3786.0,35,10000643.SH,0.0077,2.215,2.124,0.0,call,-1.0,0.1637153270173073,1.06,333,2.0,2934.0,35,10000637.SH,0.0089,2.215,2.124,0.0,put,-1.0,0.1893993132368921,0.94,-1.0,2016-07-14,0.0003131441775632,2,0.0988195996769018,1.9238646896677607
27,630,2016-06-28,2.25,7531.0,29,10000643.SH,0.0052,2.215,2.117,0.0,call,-1.0,0.1675970179628134,1.06,345,2.0,8183.0,29,10000637.SH,0.0051,2.215,2.117,0.0,put,-1.0,0.1686117269281149,0.94,-1.0,2016-07-14,0.0003131441775632,2,0.0988195996769018,1.9238646896677607
28,646,2016-07-08,2.3,2298.0,47,10000659.SH,0.0131,2.28,2.177,0.0,call,-1.0,0.161631132445544,1.06,371,2.05,3052.0,47,10000651.SH,0.011,2.28,2.177,0.0,put,-1.0,0.1753433529339432,0.94,-1.0,2016-08-15,0.0003014590821052,5,0.0702799107353716,0.8812009803019982
29,675,2016-07-26,2.35,7945.0,29,10000665.SH,0.0085,2.28,2.227,0.0,call,-1.0,0.1750866954618692,1.06,424,2.1,6693.0,29,10000652.SH,0.0049,2.28,2.227,0.0,put,-1.0,0.1682631591397524,0.94,-1.0,2016-08-15,0.0003014590821052,5,0.0702799107353716,0.8812009803019982
30,693,2016-08-11,2.35,14105.0,48,10000667.SH,0.007,2.219,2.2230000000000003,0.0,call,-1.0,0.1289872941493987,1.06,460,2.1,8188.0,48,10000572.SH,0.0078,2.219,2.2230000000000003,0.0,put,-1.0,0.1487321573238372,0.94,-1.0,2016-09-14,0.0002270579229963,3,0.0809764051033829,1.2459105624129196
31,1091,2017-02-08,2.5,1185.0,42,10000763.SH,0.0046,2.336,2.3480000000000003,0.0,call,-1.0,0.1326558389917611,1.06,1028,2.2,1264.0,42,10000679.SH,0.003,2.336,2.3480000000000003,0.0,put,-1.0,0.133134106422305,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
32,1091,2017-02-08,2.5,1185.0,42,10000763.SH,0.0046,2.336,2.3480000000000003,0.0,call,-1.0,0.1326558389917611,1.06,1029,2.2,2618.0,42,10000828.SH,0.0029,2.336,2.3480000000000003,0.0,put,-1.0,0.1321216624323725,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
33,1092,2017-02-08,2.5,7126.0,42,10000791.SH,0.0042,2.336,2.3480000000000003,0.0,call,-1.0,0.1296148115358352,1.06,1028,2.2,1264.0,42,10000679.SH,0.003,2.336,2.3480000000000003,0.0,put,-1.0,0.133134106422305,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
34,1092,2017-02-08,2.5,7126.0,42,10000791.SH,0.0042,2.336,2.3480000000000003,0.0,call,-1.0,0.1296148115358352,1.06,1029,2.2,2618.0,42,10000828.SH,0.0029,2.336,2.3480000000000003,0.0,put,-1.0,0.1321216624323725,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
35,1143,2017-02-20,2.55,4590.0,30,10000811.SH,0.0025,2.336,2.395,0.0,call,-1.0,0.1364907999191283,1.06,1106,2.25,2358.0,30,10000680.SH,0.0022,2.336,2.395,0.0,put,-1.0,0.1407286880437135,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
36,1143,2017-02-20,2.55,4590.0,30,10000811.SH,0.0025,2.336,2.395,0.0,call,-1.0,0.1364907999191283,1.06,1107,2.25,6720.0,30,10000820.SH,0.0021,2.336,2.395,0.0,put,-1.0,0.139366364963889,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
37,1153,2017-02-22,2.55,3874.0,28,10000811.SH,0.0021,2.336,2.396,0.0,call,-1.0,0.1356251024912595,1.06,1128,2.25,293.0,28,10000680.SH,0.0018,2.336,2.396,0.0,put,-1.0,0.1402919054251909,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
38,1153,2017-02-22,2.55,3874.0,28,10000811.SH,0.0021,2.336,2.396,0.0,call,-1.0,0.1356251024912595,1.06,1129,2.25,2281.0,28,10000820.SH,0.0017,2.336,2.396,0.0,put,-1.0,0.1387102373622655,0.94,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
39,1323,2017-05-18,2.5,804.0,41,10000765.SH,0.0017,2.548,2.35,0.0,call,0.0848886818834151,0.1060383252924681,1.06,1291,2.2,195.0,41,10000733.SH,0.0009,2.548,2.35,0.0,put,-1.0,0.1075422689374685,0.94,7.443791095343661,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
40,1323,2017-05-18,2.5,804.0,41,10000765.SH,0.0017,2.548,2.35,0.0,call,0.0848886818834151,0.1060383252924681,1.06,1292,2.2,1284.0,41,10000830.SH,0.001,2.548,2.35,0.0,put,-1.0,0.1094884788255691,0.94,7.213806973271922,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
41,1324,2017-05-18,2.5,1786.0,41,10000801.SH,0.0017,2.548,2.35,0.0,call,0.0848886818834151,0.1060383252924681,1.06,1291,2.2,195.0,41,10000733.SH,0.0009,2.548,2.35,0.0,put,-1.0,0.1075422689374685,0.94,7.443791095343661,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
42,1324,2017-05-18,2.5,1786.0,41,10000801.SH,0.0017,2.548,2.35,0.0,call,0.0848886818834151,0.1060383252924681,1.06,1292,2.2,1284.0,41,10000830.SH,0.001,2.548,2.35,0.0,put,-1.0,0.1094884788255691,0.94,7.213806973271922,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
43,1344,2017-05-23,2.55,3385.0,36,10000813.SH,0.0016,2.548,2.403,0.0,call,-1.0,0.1080422324478626,1.06,1314,2.25,4156.0,36,10000734.SH,0.0013,2.548,2.403,0.0,put,-1.0,0.1212057924554348,0.94,-1.0,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
44,1344,2017-05-23,2.55,3385.0,36,10000813.SH,0.0016,2.548,2.403,0.0,call,-1.0,0.1080422324478626,1.06,1315,2.25,7626.0,36,10000822.SH,0.0014,2.548,2.403,0.0,put,-1.0,0.1228697148870229,0.94,-1.0,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
45,1349,2017-05-24,2.55,3657.0,35,10000813.SH,0.0017,2.548,2.399,0.0,call,-1.0,0.1136011972587108,1.06,1323,2.25,3322.0,35,10000734.SH,0.0014,2.548,2.399,0.0,put,-1.0,0.1220478864557743,0.94,-1.0,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
46,1349,2017-05-24,2.55,3657.0,35,10000813.SH,0.0017,2.548,2.399,0.0,call,-1.0,0.1136011972587108,1.06,1324,2.25,5536.0,35,10000822.SH,0.0012,2.548,2.399,0.0,put,-1.0,0.1186458934515714,0.94,-1.0,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
47,1363,2017-06-06,2.6,4099.0,50,10000919.SH,0.0076,2.677,2.457,0.0,call,0.0474023468363731,0.1271385974113941,1.06,1390,2.3,4113.0,50,10000906.SH,0.0037,2.677,2.457,0.0,put,-1.0,0.1288094339783191,0.94,2.1626225923483138,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
48,1459,2017-08-15,2.8,12356.0,43,10000965.SH,0.0092,2.7110000000000003,2.651,0.0,call,-1.0,0.1394884352153539,1.06,1609,2.5,7890.0,43,10000856.SH,0.0056,2.7110000000000003,2.651,0.0,put,-1.0,0.1380346786561608,0.94,-1.0,2017-09-13,0.0002455124228985,0,0.0,0.0
49,1467,2017-08-17,2.8,13478.0,41,10000965.SH,0.0091,2.7110000000000003,2.652,0.0,call,-1.0,0.1418738119065761,1.06,1627,2.5,5921.0,41,10000856.SH,0.0043,2.7110000000000003,2.652,0.0,put,-1.0,0.1324802437960505,0.94,-1.0,2017-09-13,0.0002455124228985,0,0.0,0.0
50,1586,2017-11-14,3.1,25297.0,43,10001053.SH,0.0059,2.834,2.9130000000000003,0.0,call,-1.0,0.1313195035240649,1.06,1951,2.75,7416.0,43,10000960.SH,0.0037,2.834,2.9130000000000003,0.0,put,-1.0,0.1200005871406793,0.94,-1.0,2017-12-21,0.0004542811402133,0,0.0,0.0
51,1591,2017-11-16,3.1,17279.0,41,10001053.SH,0.008,2.834,2.932,0.0,call,-1.0,0.1347164897406101,1.06,1980,2.75,9159.0,41,10000960.SH,0.0026,2.834,2.932,0.0,put,-1.0,0.1229357568004131,0.94,-1.0,2017-12-21,0.0004542811402133,0,0.0,0.0
52,1621,2017-11-30,3.04,55307.0,27,10001053.SH,0.0125,2.834,2.858,0.0,call,-1.0,0.2088915720530748,1.06,2142,2.7,20236.0,27,10000960.SH,0.0088,2.834,2.858,0.0,put,-1.0,0.1874290230843424,0.94,-1.0,2017-12-21,0.0004542811402133,0,0.0,0.0
53,1705,2017-12-19,3.04,10761.0,36,10001075.SH,0.0122,3.172,2.87,0.0,call,0.068385953294884,0.1696955772467851,1.06,2199,2.7,4360.0,36,10001136.SH,0.0057,3.172,2.87,0.0,put,-1.0,0.1519665421507358,0.94,4.285678578337261,2018-01-23,0.0003423232260527,0,0.0,0.0
54,1711,2017-12-20,3.04,5081.0,35,10001075.SH,0.0121,3.172,2.8760000000000003,0.0,call,0.0706588266747545,0.1673571689921617,1.06,2204,2.7,3279.0,35,10001136.SH,0.0058,3.172,2.8760000000000003,0.0,put,-1.0,0.158426609530747,0.94,4.543202850093025,2018-01-23,0.0003423232260527,0,0.0,0.0
55,1723,2017-12-22,3.04,9975.0,33,10001075.SH,0.0143,3.172,2.878,0.0,call,0.0696695502699593,0.1812876019759774,1.06,2214,2.7,2631.0,33,10001136.SH,0.0028,3.172,2.878,0.0,put,-1.0,0.1384658584408759,0.94,5.410456064716958,2018-01-23,0.0003423232260527,0,0.0,0.0
56,1729,2017-12-25,3.04,19438.0,30,10001075.SH,0.0129,3.172,2.8760000000000003,0.0,call,0.0806029298125596,0.1854483617287874,1.06,2219,2.7,4882.0,30,10001136.SH,0.0031,3.172,2.8760000000000003,0.0,put,-1.0,0.146884652678132,0.94,7.250000000000007,2018-01-23,0.0003423232260527,0,0.0,0.0
57,1757,2017-12-29,3.04,17235.0,26,10001075.SH,0.0063,3.172,2.858,0.0,call,0.1241303375580404,0.1739501546635627,1.06,2235,2.7,13618.0,26,10001136.SH,0.0021,3.172,2.858,0.0,put,-1.0,0.1337787899378537,0.94,23.007115128079956,2018-01-23,0.0003423232260527,0,0.0,0.0
58,1845,2018-02-07,3.2,38756.0,49,10001175.SH,0.05,2.688,3.023,0.0,call,-1.0,0.2527504060864001,1.06,2422,2.85,6851.0,49,10001010.SH,0.03,2.688,3.023,0.0,put,0.0350153993181439,0.220196004515022,0.94,0.5403065411647068,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
59,1845,2018-02-07,3.2,38756.0,49,10001175.SH,0.05,2.688,3.023,0.0,call,-1.0,0.2527504060864001,1.06,2423,2.85,13753.0,49,10001111.SH,0.03,2.688,3.023,0.0,put,0.0350153993181439,0.220196004515022,0.94,0.5403065411647068,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
60,1908,2018-02-14,3.04,2683.0,42,10001055.SH,0.04,2.688,2.866,0.0,call,-1.0,0.2563781515698135,1.06,2484,2.7,2211.0,42,10000977.SH,0.04,2.688,2.866,0.0,put,-0.0282590468540022,0.2781719829885661,0.94,-0.7420748115842272,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
61,1908,2018-02-14,3.04,2683.0,42,10001055.SH,0.04,2.688,2.866,0.0,call,-1.0,0.2563781515698135,1.06,2485,2.7,3076.0,42,10001138.SH,0.04,2.688,2.866,0.0,put,-0.0282590468540022,0.2781719829885661,0.94,-0.7420748115842272,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
62,1922,2018-02-22,3.1,13208.0,34,10001164.SH,0.03,2.688,2.925,0.0,call,-1.0,0.2465262835747599,1.06,2501,2.75,2427.0,34,10000978.SH,0.03,2.688,2.925,0.0,put,0.021580653733914,0.272661834357381,0.94,0.0293547983625848,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
63,1922,2018-02-22,3.1,13208.0,34,10001164.SH,0.03,2.688,2.925,0.0,call,-1.0,0.2465262835747599,1.06,2502,2.75,12348.0,34,10001130.SH,0.03,2.688,2.925,0.0,put,0.021580653733914,0.272661834357381,0.94,0.0293547983625848,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
64,1939,2018-02-26,3.14,7370.0,30,10001063.SH,0.02,2.688,2.965,0.0,call,-1.0,0.2197700103318094,1.06,2537,2.8,2903.0,30,10000986.SH,0.02,2.688,2.965,0.0,put,0.0591064206972939,0.233809162133336,0.94,1.7999999999999914,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
65,1939,2018-02-26,3.14,7370.0,30,10001063.SH,0.02,2.688,2.965,0.0,call,-1.0,0.2197700103318094,1.06,2538,2.8,19434.0,30,10001110.SH,0.02,2.688,2.965,0.0,put,0.0591064206972939,0.233809162133336,0.94,1.7999999999999914,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
66,1951,2018-02-27,3.1,18700.0,29,10001164.SH,0.02,2.688,2.92,0.0,call,-1.0,0.231022765592575,1.06,2554,2.75,3721.0,29,10000978.SH,0.02,2.688,2.92,0.0,put,0.0397849011176849,0.2459223100112378,0.94,0.5736018597383328,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
67,1951,2018-02-27,3.1,18700.0,29,10001164.SH,0.02,2.688,2.92,0.0,call,-1.0,0.231022765592575,1.06,2555,2.75,14126.0,29,10001130.SH,0.02,2.688,2.92,0.0,put,0.0397849011176849,0.2459223100112378,0.94,0.5736018597383328,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
68,1959,2018-02-28,3.04,10617.0,28,10001055.SH,0.02,2.688,2.8710000000000004,0.0,call,-1.0,0.2302797344623208,1.06,2569,2.7,8673.0,28,10000977.SH,0.02,2.688,2.8710000000000004,0.0,put,-0.0180783620932375,0.2553854367074369,0.94,-0.7247211958921429,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
69,1959,2018-02-28,3.04,10617.0,28,10001055.SH,0.02,2.688,2.8710000000000004,0.0,call,-1.0,0.2302797344623208,1.06,2570,2.7,20831.0,28,10001138.SH,0.02,2.688,2.8710000000000004,0.0,put,-0.0180783620932375,0.2553854367074369,0.94,-0.7247211958921429,2018-03-01,0.0008721553590375,2,0.127665092067798,3.626491440544421
70,2112,2018-04-10,2.95,5451.0,43,10001301.SH,0.03,2.672,2.775,0.0,call,-1.0,0.2297361403737664,1.06,2703,2.6,3324.0,43,10001294.SH,0.03,2.672,2.775,0.0,put,-1.0,0.2570113909992874,0.94,-1.0,2018-05-08,0.0005294581375919,3,0.1219992564017418,3.234845278054195
